,Severity,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID
0,Minor_Damage_And_Injuries,49.2237442922374,14,22,71.285323609845,0.272117562206996,78.04,2,31335.4768243775,3,0.42435208330785296,7570
1,Minor_Damage_And_Injuries,62.4657534246575,10,27,72.2880583409298,0.42393869455463395,84.54,2,26024.711057085402,2,0.352349972573073,12128
2,Significant_Damage_And_Fatalities,63.0593607305936,13,16,66.362807657247,0.322604399567255,78.86,7,39269.0539266116,3,0.0033639069942974697,2181
3,Significant_Damage_And_Serious_Injuries,48.082191780821894,11,9,74.7037374658159,0.33702921024161503,81.79,3,42771.4992003673,1,0.211728167404242,5946
4,Significant_Damage_And_Fatalities,26.4840182648402,13,25,47.9489516864175,0.541140281283808,77.16,3,35509.2285154196,2,0.17688336838481103,9054
5,Minor_Damage_And_Injuries,43.3333333333333,15,0,73.33637192342749,0.43295420122610906,78.63,2,29288.448104915497,1,0.394504816380126,10947
6,Highly_Fatal_And_Damaging,22.0091324200913,15,10,62.853236098450296,0.314670753696357,88.04,4,32342.109345125602,0,0.0588715558622953,4717
7,Minor_Damage_And_Injuries,24.703196347031998,18,4,60.80218778486779,0.5483526866209879,83.48,4,22547.195241547597,2,0.0404193589227867,8008
8,Highly_Fatal_And_Damaging,54.84018264840179,5,40,69.2342752962625,0.335586729174179,78.24,2,45751.983412795096,0,0.6191857633807429,8179
9,Significant_Damage_And_Serious_Injuries,52.2374429223744,6,4,57.4293527803099,0.465410025243419,79.56,1,37933.3990008527,1,1.3892954965549498,6324
10,Highly_Fatal_And_Damaging,36.6666666666667,11,11,80.21877848678221,0.45278831590335294,81.15,2,31463.568565177902,2,0.424911513212429,3789
11,Significant_Damage_And_Serious_Injuries,48.1278538812785,11,2,62.807657247037405,0.329095564370718,77.8,3,22570.030397977098,4,0.111873408309966,8946
12,Significant_Damage_And_Serious_Injuries,42.8767123287671,12,14,68.9608021877849,0.15960403894698902,77.23,3,44697.8687399317,3,0.22251011202462803,3629
13,Significant_Damage_And_Fatalities,63.6529680365297,13,4,78.669097538742,0.232088712585647,80.78,7,30882.7263765865,3,0.00256728363044899,2451
14,Highly_Fatal_And_Damaging,26.027397260274,14,2,83.54603463992709,0.3629938694554629,81.63,3,18915.509024870702,2,0.0958059182791733,4028
15,Highly_Fatal_And_Damaging,49.5890410958904,7,1,85.5515041020967,0.27031446087270106,78.86,3,25083.6579094431,2,0.12376105756485901,10493
16,Highly_Fatal_And_Damaging,10.867579908675802,18,1,68.003646308113,0.309622069960331,82.08,6,47893.7179720062,3,0.0112415293720467,20
17,Significant_Damage_And_Fatalities,38.767123287671204,10,4,37.8304466727438,0.600282005048683,80.82,4,35910.2004117809,1,0.0665145741903083,2064
18,Significant_Damage_And_Fatalities,78.2191780821918,8,3,61.485870556062004,0.33811107104219196,82.2,2,34354.111221382205,2,0.462514456126825,2765
19,Significant_Damage_And_Fatalities,20.2283105022831,15,2,41.5679124886053,0.687191489361702,78.37,2,11503.388560834199,1,0.15978428784918697,2938
20,Minor_Damage_And_Injuries,52.4657534246575,13,0,73.2452142206017,0.22199134511359503,81.62,2,39835.7183100935,1,0.538862339469786,10309
21,Minor_Damage_And_Injuries,38.4474885844749,17,5,74.9316317228806,0.326571222502704,79.31,2,37435.5727950293,2,0.50848625905791,3918
22,Highly_Fatal_And_Damaging,44.84018264840179,8,2,80.5834092980857,0.249759105661738,78.21,4,45783.5276614128,0,0.0839917945185517,4830
23,Minor_Damage_And_Injuries,43.8812785388128,15,1,68.003646308113,0.338471691309052,78.97,1,45541.2367525593,2,1.66486418964678,6630
24,Significant_Damage_And_Fatalities,25.296803652968002,14,5,47.265268915223395,0.5948727010457989,76.19,5,49288.6355066503,3,0.0324373855024073,11434
25,Significant_Damage_And_Fatalities,61.8264840182648,13,7,66.1349134001823,0.423217454020916,78.07,6,42607.0710974919,1,0.0106066637907699,10987
26,Significant_Damage_And_Fatalities,59.2694063926941,14,3,61.6226071103008,0.331980526505589,90.87,7,32342.3133839545,3,0.0030220785773064102,8830
27,Highly_Fatal_And_Damaging,24.337899543379002,14,0,70.7839562443026,0.267790119004688,76.75,4,26538.322262979,1,0.0486259930836168,2237
28,Significant_Damage_And_Fatalities,55.0228310502283,15,9,70.3281677301732,0.5122906599350879,77.03,7,28451.0147010119,0,0.0029156570877262103,4196
29,Highly_Fatal_And_Damaging,65.7534246575342,5,20,48.1312670920693,0.6381471330688779,79.75,3,39150.6721955048,1,0.19486962941320102,4755
30,Minor_Damage_And_Injuries,68.7671232876712,8,2,74.65815861440291,0.33450486837360305,78.78,5,15868.4439388883,2,0.0107749305075961,5438
31,Minor_Damage_And_Injuries,32.648401826484,15,1,48.6326344576117,0.431151099891814,78.29,4,35960.976402256805,2,0.0657328863038229,6012
32,Highly_Fatal_And_Damaging,48.3561643835616,7,2,76.7547857793984,0.293033537684818,77.27,4,41509.545282458,3,0.0758299007487241,8779
33,Highly_Fatal_And_Damaging,53.9269406392694,12,5,44.712853236098496,0.571071763433105,78.7,5,28579.1660477413,1,0.0181978246117614,9273
34,Significant_Damage_And_Serious_Injuries,54.7488584474886,9,28,60.6198723792161,0.527436711143166,79.42,7,52249.610146137195,3,0.00460286344892508,9173
35,Significant_Damage_And_Fatalities,14.5205479452055,17,3,55.6061987237922,0.30998269022719105,77.18,2,31365.239571317998,3,0.4244823581168529,6809
36,Significant_Damage_And_Fatalities,40.821917808219204,9,7,41.020966271649996,0.5433040028849621,76.8,1,45255.700735690196,2,1.7000268879320202,7462
37,Significant_Damage_And_Serious_Injuries,43.6529680365297,12,2,59.6627164995442,0.42213559322033894,81.86,6,37571.9051001859,0,0.00964423065045325,382
38,Minor_Damage_And_Injuries,75.98173515981729,6,12,67.86690975387421,0.352535881716553,81.26,2,28213.4276195929,4,0.382453188083348,5152
39,Minor_Damage_And_Injuries,40.0,13,8,49.863263445761206,0.357223945185719,78.62,6,46457.4404448416,3,0.0115453696276444,8616
40,Minor_Damage_And_Injuries,47.899543378995396,14,1,97.9945305378305,0.20900901550667103,77.52,2,21526.324250148202,2,0.30011361651155,6514
41,Highly_Fatal_And_Damaging,32.557077625570805,12,9,68.9608021877849,0.30998269022719105,76.39,2,31195.9927218196,0,0.422074757716085,2210
42,Highly_Fatal_And_Damaging,44.794520547945204,8,2,68.91522333637201,0.151670393076091,76.89,4,36156.8263602184,0,0.0664963794143816,5783
43,Highly_Fatal_And_Damaging,46.25570776255711,7,2,67.50227894257071,0.269232600072124,75.35,4,38277.0201603213,0,0.0704801840529321,4445
44,Significant_Damage_And_Serious_Injuries,41.3698630136986,13,20,61.6681859617138,0.387876667868734,80.35,3,37974.6171677544,0,0.18927904197012,10051
45,Minor_Damage_And_Injuries,53.6529680365297,9,2,53.09936189608021,0.410235124413992,80.0,3,22418.797459827598,3,0.111669094338871,6047
46,Minor_Damage_And_Injuries,42.100456621004604,12,8,49.863263445761206,0.35433898305084705,79.12,3,52513.9126928886,4,0.256579480296917,4540
47,Significant_Damage_And_Fatalities,65.296803652968,13,12,74.06563354603459,0.46613126577713604,79.53,7,21079.2995457879,0,0.00203327570840989,6906
48,Significant_Damage_And_Fatalities,19.4063926940639,15,3,53.327256153145,0.26670825820411104,75.2,4,19484.2436106125,3,0.0356172029643824,7290
49,Significant_Damage_And_Serious_Injuries,33.0593607305936,15,15,72.33363719234279,0.442330328164443,83.6,1,40822.7854450646,2,1.48431579962055,11278
50,Highly_Fatal_And_Damaging,52.6027397260274,13,2,47.538742023701,0.487768481788677,84.13,6,31631.230827543703,1,0.00811790790848975,6499
51,Significant_Damage_And_Fatalities,29.634703196346997,13,7,48.9061075660894,0.51156941940137,77.68,4,23561.292843337902,2,0.0434693964976293,2272
52,Significant_Damage_And_Serious_Injuries,41.7351598173516,13,11,71.8778486782133,0.38030364226469504,76.2,6,17443.6548671994,2,0.0047760663608893104,1180
53,Highly_Fatal_And_Damaging,40.365296803653,9,1,56.79124886052871,0.36443635052289897,76.95,3,21268.8395478725,3,0.10639403449074698,5780
54,Significant_Damage_And_Serious_Injuries,30.4566210045662,16,0,76.5268915223336,0.239661738189686,78.84,6,37178.3769732465,2,0.00916356586669669,12089
55,Minor_Damage_And_Injuries,40.7762557077626,13,0,45.442114858705594,0.5981182834475289,76.37,2,22443.893571404904,1,0.306870692970856,10487
56,Significant_Damage_And_Serious_Injuries,37.1689497716895,14,3,62.7620783956244,0.329095564370718,79.63,1,10730.4301304362,1,0.35922927079480893,2835
57,Significant_Damage_And_Serious_Injuries,38.8127853881278,13,18,64.0382862351869,0.46721312657771297,82.06,6,30858.543137353397,4,0.008024948255931941,3697
58,Minor_Damage_And_Injuries,45.205479452054796,11,35,56.563354603464,0.45964010097367497,81.06,6,17474.5485605647,1,0.00492049195200934,1564
59,Significant_Damage_And_Serious_Injuries,24.566210045662103,18,6,59.6171376481313,0.273560043274432,78.16,4,31278.3864504925,2,0.057671471877196005,87
60,Significant_Damage_And_Serious_Injuries,43.3333333333333,12,3,77.52962625341841,0.18556869816083602,79.76,5,14519.2418896442,2,0.0112049590659801,7845
61,Significant_Damage_And_Serious_Injuries,56.62100456620999,8,6,85.6882406563355,0.151670393076091,78.6,6,32932.7239225323,2,0.008176606091522421,6000
62,Highly_Fatal_And_Damaging,42.648401826484,9,0,58.7055606198724,0.256610890732059,81.16,1,31380.143920272796,1,1.1631821282771,3168
63,Minor_Damage_And_Injuries,49.0867579908676,14,4,68.0948040109389,0.29411539848539503,79.63,1,26992.7869170996,1,0.9914334669509591,11015
64,Highly_Fatal_And_Damaging,33.515981735159805,11,2,61.485870556062004,0.44413342949873796,75.21,4,25794.580871847003,3,0.0471571412717711,1459
65,Highly_Fatal_And_Damaging,25.296803652968002,14,3,83.8195077484048,0.301327803822575,81.94,4,25111.174904879503,2,0.0460458912336435,7285
66,Significant_Damage_And_Serious_Injuries,37.3972602739726,14,1,79.7629899726527,0.36083014785430895,78.39,6,49758.6415438009,2,0.0128953266110588,3269
67,Highly_Fatal_And_Damaging,13.698630136986301,17,5,62.6709206927985,0.25841399206635396,79.85,2,37474.0741743146,1,0.50921558962637,2453
68,Minor_Damage_And_Injuries,53.9269406392694,12,14,49.31631722880589,0.421053732419762,86.42,1,37120.1716684666,3,1.3583961336022699,10724
69,Significant_Damage_And_Serious_Injuries,48.6301369863014,11,4,79.7629899726527,0.255168409664623,82.66,3,34032.0959991224,0,0.170265585090925,11302
70,Significant_Damage_And_Serious_Injuries,52.4657534246575,9,0,58.933454876937105,0.42538117562207,78.75,3,29213.8409826863,0,0.145447149829291,5524
71,Significant_Damage_And_Serious_Injuries,48.4474885844749,10,27,64.4940747493163,0.368763793725207,88.27,6,35818.6532209991,2,0.00857347982384688,2415
72,Significant_Damage_And_Fatalities,38.310502283105,11,1,49.5442114858706,0.5155362423368189,79.89,4,47541.0050691026,3,0.0869913348454806,3318
73,Significant_Damage_And_Fatalities,58.9954337899543,14,7,73.0173199635369,0.32080129823296005,82.49,7,52189.5365431102,0,0.0044929035955593105,4950
74,Highly_Fatal_And_Damaging,45.388127853881294,15,3,52.506836827712,0.5209455463397039,77.33,2,47423.386064199294,1,0.639480633874222,8485
75,Highly_Fatal_And_Damaging,30.6392694063927,12,6,74.24794895168641,0.23280995311936498,76.02,1,32791.8421914493,3,1.21223592334104,9552
76,Highly_Fatal_And_Damaging,13.789954337899498,17,0,62.6709206927985,0.300967183555716,79.84,3,41118.8206454296,3,0.203686644663722,1318
77,Significant_Damage_And_Serious_Injuries,39.4977168949772,13,6,78.0309936189608,0.38102488279841296,78.28,3,39523.6657956433,2,0.19665478666366898,11038
78,Significant_Damage_And_Serious_Injuries,39.178082191780796,13,7,70.8751139471286,0.42393869455463395,78.59,3,33528.5133497288,3,0.16876079449003398,24
79,Minor_Damage_And_Injuries,56.8493150684931,11,18,76.9826800364631,0.29447601875225393,87.05,2,30950.391312881402,3,0.420554790386963,8932
80,Minor_Damage_And_Injuries,58.4474885844749,11,5,64.8131267092069,0.329095564370718,83.45,2,36844.4611648139,3,0.49916781630291795,10990
81,Highly_Fatal_And_Damaging,19.7716894977169,15,7,57.65724703737471,0.428626758023801,78.13,1,18584.990656943897,2,0.6805149776311271,11035
82,Significant_Damage_And_Serious_Injuries,51.689497716895,10,1,72.5615314494075,0.38715542733501596,78.56,3,45213.5076682407,1,0.224051804560772,7291
83,Highly_Fatal_And_Damaging,27.8082191780822,13,5,65.1321786690975,0.3900403894698879,78.66,7,26744.8667985702,2,0.0021957592815412303,1208
84,Highly_Fatal_And_Damaging,23.424657534246602,15,10,71.19416590701921,0.351454020915975,79.58,4,42336.4810156185,2,0.0776846904276515,10362
85,Significant_Damage_And_Serious_Injuries,62.511415525114096,13,0,49.042844120328205,0.5436646231518211,78.46,7,15180.0317902949,1,0.0010359524358996301,1159
86,Significant_Damage_And_Serious_Injuries,54.246575342465704,5,4,73.2907930720146,0.244349801658853,77.95,3,34497.643982666,1,0.170265585090925,9071
